Name,Awards,rating
Riad Dar Najat,10,5.0
Zamzam Riad,7,5.0
Riad Tzarra,5,5.0
Villa des Orangers,11,5.0
Palais Khum,7,5.0
Club Med Marrakech le Riad,10,4.5
Riad Miski,10,5.0
Villa Makassar,10,5.0
Ksar Char-Bagh Small Luxury hotel,7,5.0
Riad La Terrasse des Oliviers,8,5.0
Riad 58 Blu,11,5.0
Riad Bab Tilila,5,5.0
Art Place Hotel & Ryad,6,4.5
Riad Charlott',3,5.0
Riad les Orangers d'Alilia Marrakech,11,5.0
Le Farnatchi,10,5.0
Lodge K Hotel & Spa,7,5.0
RIad Al Loune,7,5.0
Riad Akka,9,5.0
Dar Charkia,8,5.0
MonRiad,9,4.5
Riad Dar Karma,8,5.0
Riad Alma,8,5.0
Riad Adore,10,5.0
Riad Haraka,5,5.0
Riad Chafia,8,5.0
Riad Tizwa,8,5.0
AnaYela,6,5.0
Riad Maison Belbaraka,6,5.0
Selman Marrakech,7,5.0
Dar Ilham,1,5.0
Riad Adika,2,5.0
Riad Palais Blanc,2,5.0
Sirayane Boutique Hotel & Spa,10,5.0
Riad Karmela,11,4.5
Riad Bindoo & SPA,6,5.0
Riad de la Belle Epoque,8,5.0
Riyad Al Moussika,4,5.0
Riad Malika,10,5.0
Riad Tamarrakecht,9,5.0
Riad & Spa Al Jazira,10,4.5
Riad Elizabeth,6,5.0
Riad Ilayka,8,5.0
Riad Tahili & Spa,6,5.0
Riad Djemanna,6,4.5
Hivernage Secret Suites & Garden,3,5.0
Riad Dar Zaya,5,5.0
Riad Marhbabikoum,7,5.0
Le Rihani,9,5.0
Riyad El Cadi,9,5.0
Barometre Marrakech,4,5.0
Dameh,1,5.0
Gm Cafe Gourmet,0,5.0
L'O A LA BOUCHE - Marrakech,1,5.0
Taj Moroccan Food,0,5.0
Pointbar,6,4.5
Patisserie Gato,5,5.0
Casa Lalla Restaurant,3,5.0
Bazaar Cafe,4,4.5
Corner Cafe,3,4.5
Gastro MK at Maison MK,8,4.5
Kafe Merstan,4,4.5
Le Petit Cornichon,3,4.5
Limoni Cafe and Restaurant,7,4.5
Kech Burger,5,4.5
Fine Mama?,1,4.5
Dar Chef,2,4.5
Le Tire Bouchon Marrakech,1,5.0
Restaurant Le LOFT,7,4.5
Ma Maison,1,5.0
Cuisine De Terroir,2,4.5
Restaurant Angsana Si Said,2,5.0
Azar,11,4.5
Manzil la Tortue,6,5.0
La Table Du Riad at 72 Riad Living,6,4.5
La Palette Restaurant Marrakech,2,5.0
Votre Table,0,5.0
Patisserie Amandine Marrakech,8,4.5
L'Mida Marrakech,1,4.5
Chez Brahim,8,4.5
Riad Kniza Restaurant,10,4.5
Kui-Zin Medina,4,4.5
La Cuisine de Mona,9,4.5
Ksar Es Saoussan,9,4.5
A.Montana,4,5.0
Zeitoun Gueliz,1,4.5
La Villa Des Orangers - Restaurant,7,4.5
So Lounge Marrakech,2,4.5
Cafe Chez ZaZa,5,4.5
Mazel مزال Cafe,0,5.0
Zeitoun Cafe Jemaa El Fnaa,3,4.5
L'Auberge Espagnole,5,4.5
Le Tanjia,2,4.5
Snack Grand Atlas,4,4.5
Katsura,9,4.5
Fox Art Food,3,4.5
Terrasse de la fontaine,0,4.5
Le 6,6,4.5
Beats Burger,4,4.5
Bagatelle,9,4.5
Chez Mado,0,4.5
La Cantine Des Gazelles,4,4.5
Cafe Restaurant Dar L'hssir,1,4.5
Zeitoun Cafe Kasbah,2,4.5
Las Terrazas De Andalucia,1,4.5
Exotic Bali,3,4.5
Cafe Mama Afrika,7,4.5
Entrepotes,7,4.5
Le Trou au Mur,2,4.5
Jemaa ElFna Restaurant,1,4.5
